id,english,tunisian
10161457,"""Tom's gay."" ""What makes you think so?"" ""We were together tonight.""",&#34;توم مثلي.&#34; &#34;شنوة خلاك تفكر هكا؟&#34; &#34;كنا مع بعضنا الليلة.&#34;
10161460,"It's better to remain silent, than to talk without purpose.",خير تسكت من إنك تهدر بلا فايدة.
10161462,Tom packed up and left.,توم جمع حاجتو ومشى.
10161464,"When Tom returned, he brought a baseball cap and gave it as a present to Mary.",كي رجع توم، جاب معاه كاسكيت متاع بيسبول وعطاها هدية لماري.
10161466,All we can do is sit here and wait.,اللي نجموا نعملوه هو نقعدوا هنا ونستناو.
10161484,Tom doesn't tan. He just burns.,توم ما يسمرش. هو كان يحرق.
10161490,"We have lots of water, but it isn't drinkable.",عندنا برشة ماء، أما ما يتشربش.
10161491,What're you going to do after school today?,شنوة باش تعمل بعد المدرسة اليوم؟
10161494,Tom didn't want to sit by Mary.,توم ما حبش يقعد جنب ماري.
10161495,You're the first woman I've ever fallen in love with.,إنتي أول مرا نحبها.
10161498,Do you think people drink more in a recession?,تظن الناس تشرب أكثر في وقت الأزمة؟
10161511,Who says that even is going to happen?,شكون قال اللي هالحاجة باش تصير؟
10161528,It's hidden in the basement.,مخبي في السرداب.
10161530,I'm pretty sure that's against the law.,أنا متأكد برشة اللي هاذا ضد القانون.
10161533,They weren't being supervised.,ما كانوش تحت المراقبة.
10161534,Tom just wanted to stay home.,توم كان يحب يقعد في الدار.
10161556,Tom didn't close the fridge door.,توم ما سكرش باب الثلاجة.
10161558,Tom is drinking his third beer.,توم يشرب في البيرة الثالثة متاعو.
10161561,Does Tom realize what he's done?,توا توم واعي شعمل؟
10161566,Tom isn't good at managing his finances.,توم ما يعرفش كيفاش يدبّر فلوسو.
10161568,I returned because I ran out of money.,رجعت خاتر فلست.
10161571,Tom wouldn't be able to help you even if he wanted to.,حتى كان توم يحب يعاونك، ما ينجمش.
10161575,Do you have a business card?,عندك كارت فيزيت؟
10161576,Tom and I exchanged business cards.,أنا وتوم بدّلنا كروت البزنس.
10161577,"Tom left the fridge door open, so I closed it.",توم خلّى باب الثلاجة محلول، دونك سكرته.
10161578,Tom went on a few dates with Mary.,توم خرج مع ماري في كم خرجة.
10161579,Can I leave you my business card?,نجم نخليلك كارت فيزيت متاعي؟
10161580,Take my business card.,خذ كارت البزنس متاعي.
10161581,I wonder how much Tom knows about this.,نتسائل قداش توم يعرف على هالحكاية.
10161582,I wonder how much Tom knows about that.,نتساءل قداش توم يعرف على هالحكاية.
10161583,I wonder how much Tom knows about what's going on.,نتسائل قداش توم يعرف على شنو قاعد يصير.
10161584,I wonder how much Tom knows about what happened.,نتسائل قداش توم يعرف على اللي صار.
10161585,What kind of house does Tom want to build?,شنوة نوع الدار اللي توم يحب يبنيها؟
10161591,Fry the breasts to a golden brown.,قلّي الصدور حتى يولي لونهم ذهبي.
10161594,I was surprised at what Tom told me.,تفاجأت باللي قالهولي توم.
10161595,Mary quickened her pace.,ماري زادت في السرعة.
10161598,Is it true that ginger increases circulation and improves your metabolism?,صحيح اللي الزنجبيل يزيد في الدورة الدموية ويحسن الميتابوليزم متاعك؟
10161600,It's speeding up.,قاعدة تسرّع.
10161601,It's accelerating.,قاعدة تسرّع.
10161603,Now they hate Tom even more.,توا يكرهو توم أكثر.
10161604,Using examples speeds up language acquisition.,استعمال الأمثلة يسرّع اكتساب اللغة.
10161612,There's a draft.,فمّة تيار هوا.
10161613,I think that it's broken.,نظن اللي راهو مكسر.
10161617,It's nearly the same.,تقريبًا كيف كيف.
10161618,Tom did it out of love for the girl.,توم عملها من حب للبنية.
10161620,Do you know the paradox about Achilles and the tortoise?,تعرف المفارقة متاع أخيل والسلحفاة؟
10161623,"Our life is full of myths, illusions, and paradoxes.",حياتنا معبية بالخرافات والأوهام والتناقضات.
10161633,I wish it were like that.,يا ريت كان هكا.
10161634,Tom said Mary hopes you don't do that.,توم قال ماري تتمنى إنك ما تعملش هكا.
10161647,Turn off the camera.,طفي الكاميرا.
10161648,Turn the camera off.,طفي الكاميرا.
10161652,I think that somebody took my bag.,نظن اللي حد خذا لي الكيس متاعي.
10161653,I think somebody took my bag.,نظن اللي حد سرقلي شنطتي.
10161654,I think that someone took my bag.,نظن اللي حد خذا شنطتي.
10161656,Move your butt!,حرك ساقيك!
10161664,No one asked for my opinion.,ما حد سألني على رايي.
10161684,I can't get through to anybody.,ما نجمتش نوصل لحد.
10161685,I couldn't get through to anybody.,ما نجمتش نوصل لأي حد.
10161687,I couldn't get through to anyone.,ما نجمتش نوصل لحد.
10161718,Some of the men were sitting on the floor.,بعض الرجال كانوا قاعدين على الأرض.
10161721,You all drink tea.,إنتوما تشربو الشاي.
10161723,"Even if you say it, I don't believe you.",حتى كان تقولها، ما نصدقكش.
10161734,Tom took a vow of silence.,توم عمل نذر باش يسكت.
10161763,Tom wanted to see Mary do that.,توم حب يشوف ماري تعمل هكا.
10161766,"Permission isn't required only if the author died more than 70 years ago, in which case the work is in the public domain.",الإذن موش مطلوب كان الكاتب توفى من أكثر من 70 سنة، وفي الحالة هاذي العمل يكون في الملك العام.
10161769,That doesn't satisfy me.,هذا ما يعجبنيش.
10161771,Tom lay awake.,توم كان فايق وما يرقدش.
10161782,Tom put a bumper sticker on his car.,توم حط ستيكر على الصدام متاع كرهبتو.
10161783,Tom's bumper has a scratch on it.,الصدام متاع توم فيه ختش.
10161785,Can you give me a brief overview?,تنجم تعطيني فكرة مختصرة؟
10161787,We gave a quick overview of our findings.,عطينا لمحة سريعة على اللي لقيناه.
10161788,Tom loves turnips.,توم يعشق اللفت.
10161790,Tom ate a turnip.,توم كلا لفتة.
10161797,You can quiz me.,تنجم تسألني.
10161798,Quiz me.,سألني.
10161799,We had a pop quiz.,عملولنا اختبار فجئي.
10161800,The quiz was really easy.,الاختبار كان ساهل برشة.
10161801,Our curriculum is comprehensive.,البرنامج متاعنا شامل.
10161817,Did the Buddha ever visit Sri Lanka?,هل بوذا زار سريلانكا؟
10161818,Tom may have forgotten to do that.,يمكن لتوم نسى يعمل هكا.
10161819,"Back when it was first introduced, the telephone was quite the novelty.",كيما وقت اللي تّعرف التليفون لأول مرة، كان حاجة جديدة برشا.
10161822,Tom gave Mary a novelty pencil sharpener for her birthday.,توم عطى لماري براية أقلام جديدة في عيد ميلادها.
10161830,Mary couldn't have done worse.,ماري ما كانش تنجم تعمل حاجة أسوأ.
10161834,Tom is an eligible bachelor.,توم عزّابي مرغوب فيه.
10161836,Tom is eligible for benefits.,توم يستحق الفوائد.
10161837,Are you eligible to vote?,هل انتي مؤهل باش تصوت؟
10161838,Tom chambered another round.,توم حط طلقة أخرى في البندقية.
10161839,I was in turmoil.,كنت في حيرة.
10161840,That's a fringe theory.,هاذي نظرية هامشية.
10161845,Tom can speak Kadazan.,توم يعرف يحكي كادازان.
10161857,Tom is coming over to my place this evening.,توم جاي لدارنا الليلة.
10161864,Would you please not sit there?,برجولك ما تقعدش غادي؟
10161877,Tom's success was due more to his persistent hard work than to his talent.,نجاح توم كان بفضل خدمتو المتواصلة والمثابرة أكثر من موهبتو.
10161878,Tom said Mary is hoping to do that.,توم قال ماري تستنى باش تعمل هكا.
10161904,I could not defer my job to no one.,ما نجمتش نخلّي خدمتي لحدّ.
10161905,I don't want to defer your wishes.,ما نحبش نأجل رغباتك.
10161916,I hate studying biology.,نكره نقرا البيولوجيا.
10161947,Tom is obsessed with computers.,توم مهبول بالحواسيب.
10161948,"I enjoy playing table tennis, but I'm not a very good player.",نحب نلعب بينغ بونغ، أما مانيش لاعب به برشة.
10162056,We can't foresee everything.,ما نجموش نتوقعو كل شي.
10162059,"In the garden, the pigs were in charge.",في الجردة، الخنازير كانوا هما المسؤولين.
10162065,There are huge numbers of berries there.,فمّا برشة توت غادي.
10162068,There are tons of mushrooms in the woods.,فمّا برشة فطريات في الغابة.
10162071,"In Arabic, there are huge numbers of verbs.",في العربية، فما برشة أفعال.
10162072,"In Arabic, there's a huge number of verbs.",في العربية، فما برشة أفعال.
10162073,There are myriads of stars in the Milky Way.,فمّا برشة نجوم في درب التبانة.
10162075,A partisan was executed.,تم إعدام مناصر.
10162076,He joined the partisans.,إنضم للفلاقة.
10162077,He joined the resistance.,إنضم للمقاومة.
10162087,What happened there? Why such commotion?,شنوة صار غادي؟ علاش كل ها الهرج؟
10162116,You Muscovites can be seen a mile away.,إنتوما الماسكوفا ينجموا يتشافوا من بعيد.
10162117,"For a friend, seven miles is no barrier.",للصديق، سبعة أميال ما هيش حاجز.
10162119,"My grandson ate a piece of bread, leaving the crust.",حفيدتي كلا قطعة خبز وخلّى القشرة.
10162125,Fry them on both sides until golden brown.,قلّيهم من الزوز جوانب حتى يولي لونهم ذهبي.
10162133,"As a child, Tom would gnaw on the crust on a loaf of bread while walking home from the store.",كي كان صغير، توم كان يقضم في القشرة متاع خبزة وهو ماشي للدار من الحانوت.
10162147,We're expanding our Berlin branch.,احنا قاعدين نوسّعو في فرعنا في برلين.
10162155,Our company is opening a branch in Berlin.,شركتنا باش تفتح فرع في برلين.
10162158,A new branch is opening next month in Chicago.,فرع جديد باش يفتح الشهر الجاي في شيكاغو.
10162160,"In order not to destroy the innocent, it is better to deviate from the rules.",باش ما ندمروش البريء، خير نحيدو على القوانين.
10162161,Tom went snowboarding.,توم مشى يعمل سنوبورد.
10162163,Those who leave their places during the battle in order to hide will be put to death.,اللي يخلّيوا بلايصهم وقت المعركة باش يستخبّاو، باش يتعدّمو للإعدام.
10162164,"My wallet has been stolen, so I'm going to call the police.",سرقولي المحفظة متاعي، باش نتصل بالبوليس.
10162165,This is not a commercial marina.,هذي موش مارينا تجارية.
10162178,I picked up my pace.,زّدت في السرعة.
10162187,Two devices are coordinated with each other if they work together.,زوز ديفايسات يكونوا منسقين مع بعضهم إذا يخدموا مع بعضهم.
10162188,Generosity is a trait of the people of Baku.,الكرم هو صفة من صفات ناس باكو.
10162189,She gestured.,أشارت.
10162196,It's a truck with a trailer.,هذيكا كميون بكرافان.
10162197,He wants to visit Russia.,يحب يزور روسيا.
10162198,I chained my bike to a tree.,ربطت البيسكلات متاعي في شجرة.
10162200,Why did you latch onto me?,علاش تعلقت بيا؟
10162210,"""What are you doing?"" he fumed.",&#34;شنوة قاعد تعمل؟&#34; هو معصب.
10162211,"In the worst case, you will be only thirty minutes late.",في أسوأ الحالات، باش تكون متأخر كان نص ساعة برك.
10162214,"At worst, you will be only thirty minutes late.",في أسوأ الحالات، باش تتأخر كان نص ساعة.
10162215,"In the best case, it won't help, and in the worst, it will lead to death.",في أحسن الحالات، ما يعاونش، وفي أسوأ الحالات، يوصّل للموت.
10162219,A white Mercedes cut us off.,مرسيدس بيضاء قطعت علينا الطريق.
10162229,The headline drew my attention this morning.,العنوان شد انتباهي الصباح.
10162230,The headline attracted my attention this morning.,العنوان شد انتباهي الصباح.
10162231,The spectators are taking their seats in the stands.,المتفرجين قاعدين ياخذوا بلايصهم في المدارج.
10162232,There are twenty thousand spectators in the bleachers in the stadium.,فما عشرين ألف متفرج في المدارج في الستاد.
10162233,All attention was focused on the stands.,كل التركيز كان على المدارج.
10162234,All attention was riveted on the stands.,كل التركيز كان مصبوب على المدارج.
10162235,I buy sweets from a pastry chef.,نشري في الحلويات من عند باتيسري.
10162261,The headline grabbed my attention this morning.,العنوان شد انتباهي الصباح.
10162262,Pigs had taken over the garden and destroyed it.,الحلوف خذاو الجنينة وكسروها.
